timestamp,local,event,type,direction,src,dst,control,crc,message_preview,next_hop_ip,next_hop_port
2026-06-18 15:40:16,B,RECV_DISCOVER,DISCOVER,IN,B,,,,,,
2026-06-18 15:40:16,B,SEND_DISCOVER,DISCOVER,OUT,B,,,,,255.255.255.255,6000
2026-06-18 15:40:16,B,RECV_HELLO,HELLO,IN,A,,,,,,
2026-06-18 15:40:16,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:17,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:17,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:18,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:18,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:19,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:19,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:20,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:20,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:21,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:21,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:22,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:22,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:23,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:23,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:24,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:24,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:25,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:25,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:26,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:26,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:27,B,SEND_DATA,2000,OUT,B,A,maquinainexistente,2547170411,oi,192.168.0.218,6001
2026-06-18 15:40:27,B,RECV_DATA,2000,IN,B,A,ACK,2547170411,oi,,
2026-06-18 15:40:27,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:27,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:28,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:28,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:29,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:29,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:30,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:30,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:31,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:31,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:32,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:32,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:33,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:33,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:34,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:34,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:35,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:35,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:36,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:36,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:37,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:37,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:38,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:38,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:40:38,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:40:38,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:39,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:39,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:40,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:40,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:41,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:41,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:42,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:42,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:43,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:43,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:44,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:44,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:45,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:45,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:46,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:46,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:47,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:47,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:48,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:48,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:49,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:49,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:50,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:50,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:51,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:51,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:40:52,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:40:52,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
